ANO MES AREA
2009 08 270.397433
2009 09 214.889194
2009 10 193.509668916378
2009 11 74.0407348616888
2009 12 15.6850814873602
2010 01 62.8605531684177
2010 02 87.7104729727151
2010 03 76.380149971599
2010 04 64.6683013652527
2010 05 95.0838653656182
2010 06 172.098318122511
2010 07 154.746412823656
2010 08 209.10642168403
2010 09 170.435531907671
2010 10 157.007153185727
2010 11 64.6171156004691
2010 12 175.186815068293
2011 01 83.2859466839412
2011 02 67.24901
2011 03 46.414264
2011 04 298.341733
2011 05 164.792152
2011 06 99.418133
2011 07 93.289
2011 08 239.699549
2011 09 170.319575
2011 10 102.687416
2011 11 15.462926
2011 12 39.704780985
2012 01 32.997131
2012 02 106.547949
2012 03 53.387756
2012 04 66.370624
2012 05 42.722172
2012 06 34.2502184042
2012 07 139.57312834118
2012 08 232.056821
2012 09 431.1052249
2012 10 487.541025
2012 11 58.96
2012 12 81.260647
2013 01 34.6344847486173
2013 02 45.1144883738224
2013 03 79.881648
2013 04 138.971332
2013 05 84.004942056224
2013 06 184.061509578932
2013 07 151.620405
2013 08 189.183940202033
2013 09 102.946406
2013 10 42.525876251125
2013 11 36.872411
2013 12 55.819277065652
2014 01 106.792875
2014 02 10.571936
2014 03 19.770696
2014 04 100.710890188495
2014 05 184.615553425969
2014 06 843.19349
2014 07 354.583307
2014 08 436.742811
2014 09 401.717132
2014 10 243.562349
2014 11 194.630792
2014 12 94.93673514975
2015 01 288.457896
2015 02 40.780465468628
2015 03 58.235799720567
2015 04 137.17712
2015 05 388.244990488919
2015 06 494.135227644683
2015 07 542.3901857717
2015 08 414.379583545389
2015 09 213.39180370447
2015 10 230.208837854652
2015 11 98.741883680687
2015 12 174.545535
2016 01 52.33354
2016 03 211.658761973563
2016 04 183.301799
2016 05 473.627891
2016 06 972.437424
2016 07 538.584814
2016 08 583.377801
2016 09 386.561776
2016 10 201.462794
2016 11 37.204579
2016 12 8.852157
2017 01 43.640457
2017 02 26.907551
2017 03 70.553554
2017 04 95.720549
2017 05 364.35552
2017 06 537.105515
2017 07 544.476462
2017 08 181.3913
2017 09 218.5845
2017 10 316.3624
2017 10 55.752344
2017 12 177.0564
2018 01 68.9829
2018 02 214.4783
2018 03 287.7261
2018 04 217.9644
2018 05 632.5278
2018 06 1166.7659
2018 07 757.7793
2018 08 544.90187770131
2018 09 444.430473278328
2018 10 187.99149953582
2018 11 286.544239665131
2018 12 244.6011
2019 01 106.3016
2019 02 93.7244
2019 03 66.7832
2019 04 195.3097
2019 05 795.7047
2019 06 800.6459
2019 07 1287.2805
